,Vehicle_Model,Mileage,Reported_Issues,Vehicle_Age,Fuel_Type,Transmission_Type,Engine_Size,Tire_Condition,Brake_Condition,Battery_Status,Need_Maintenance
9154,SUV,50294,0,1,Petrol,Automatic,1500,Good,New,New,0
9155,SUV,31792,5,5,Petrol,Automatic,1500,Worn Out,New,New,1
9156,Motorcycle,79715,3,2,Petrol,Automatic,800,Good,New,New,1
9157,SUV,57189,0,3,Petrol,Manual,1500,Good,Good,Weak,1
9158,Car,78993,2,6,Electric,Automatic,800,New,Good,Weak,1
9159,SUV,67177,1,3,Diesel,Automatic,1000,Worn Out,New,New,0
9160,Truck,36660,1,3,Diesel,Manual,2500,Good,New,New,0
9161,Truck,66805,4,7,Diesel,Automatic,1000,New,Good,New,1
9162,Van,74047,1,1,Petrol,Automatic,2000,Good,Worn Out,New,1
9163,Van,77997,0,8,Electric,Automatic,2000,Good,Good,Weak,1
9164,Van,71274,4,1,Diesel,Automatic,1000,Good,Good,Good,1
9165,Car,54103,1,4,Diesel,Automatic,2000,New,Good,Weak,1
9166,Truck,50655,2,5,Diesel,Manual,2000,New,Good,Good,0
9167,Motorcycle,77338,2,1,Electric,Manual,800,Good,Worn Out,Good,1
9168,Car,40103,3,10,Electric,Automatic,1500,New,Good,New,0
9169,Truck,57931,2,5,Petrol,Manual,1500,Good,Worn Out,New,1
9170,Car,52874,2,9,Diesel,Manual,2000,New,Worn Out,Weak,1
9171,Truck,49322,4,5,Diesel,Automatic,2500,Good,Good,New,1
9172,Truck,40806,5,1,Diesel,Automatic,1000,Good,Worn Out,Weak,1
9173,Bus,73531,5,9,Electric,Manual,1500,Worn Out,New,Weak,1
9174,Truck,76291,1,4,Petrol,Manual,2000,Worn Out,Worn Out,New,1
9175,Car,31618,3,10,Electric,Manual,1500,Worn Out,New,Weak,1
9176,Truck,54917,2,7,Diesel,Manual,2500,Good,Good,Weak,1
9177,Van,50132,0,10,Petrol,Automatic,2000,Worn Out,Worn Out,Good,1
9178,Motorcycle,36512,5,10,Electric,Automatic,1500,Good,Good,Weak,1
9179,Car,41222,1,10,Electric,Manual,2500,Good,Worn Out,New,1
9180,Van,71163,4,5,Diesel,Automatic,1500,New,New,Good,1
9181,SUV,54518,4,1,Petrol,Manual,1500,Good,Good,Good,1
9182,Truck,36839,3,1,Electric,Manual,1000,Worn Out,Good,Weak,1
9183,Van,72329,1,3,Petrol,Manual,2000,New,New,Weak,1
9184,Truck,47834,3,2,Electric,Manual,2500,Worn Out,New,Good,1
9185,Van,65867,3,2,Diesel,Manual,1500,New,Worn Out,Weak,1
9186,Bus,57102,0,2,Diesel,Manual,2500,Worn Out,Good,Good,1
9187,Motorcycle,52702,4,5,Diesel,Automatic,800,New,New,Good,1
9188,SUV,38299,1,2,Electric,Automatic,800,New,Worn Out,New,1
9189,SUV,52684,4,7,Electric,Manual,2000,Worn Out,Good,Weak,1
9190,Bus,77080,2,1,Petrol,Manual,2500,New,New,New,1
9191,Motorcycle,33673,2,3,Petrol,Automatic,1000,Worn Out,New,Weak,1
9192,Bus,63854,5,4,Diesel,Manual,1500,New,Worn Out,Weak,1
9193,Van,68349,0,10,Electric,Manual,1500,Good,Worn Out,New,1
9194,Motorcycle,76210,2,2,Diesel,Automatic,2500,New,Worn Out,Weak,1
9195,Motorcycle,42731,0,1,Diesel,Manual,2500,Worn Out,Good,New,0
9196,Van,75091,0,6,Diesel,Automatic,2500,Worn Out,New,New,0
9197,Bus,47931,3,7,Petrol,Manual,1000,Good,New,Good,1
9198,Motorcycle,56919,3,2,Petrol,Manual,1000,New,Good,New,1
9199,Van,55797,5,3,Electric,Manual,2000,Good,New,Weak,1
9200,SUV,56097,4,2,Electric,Manual,2500,Worn Out,Worn Out,New,1
9201,Bus,63610,0,9,Petrol,Manual,2500,New,New,Good,0
9202,Van,66548,2,2,Petrol,Manual,2500,Worn Out,Worn Out,Weak,1
9203,Car,76138,3,1,Diesel,Automatic,2000,Worn Out,New,New,1
9204,Bus,60737,2,5,Electric,Automatic,1500,Worn Out,Good,Good,1
9205,Bus,31866,3,4,Diesel,Manual,2500,Worn Out,Worn Out,Weak,1
9206,Car,51107,0,1,Diesel,Manual,1500,Worn Out,Good,Weak,1
9207,Van,78397,4,6,Petrol,Manual,1000,Worn Out,Good,Good,1
9208,Truck,62546,4,9,Petrol,Automatic,1000,Good,Worn Out,Good,1
9209,Van,58223,5,6,Petrol,Automatic,2500,New,Worn Out,Good,1
9210,SUV,64320,5,5,Petrol,Automatic,2500,Good,Good,New,1
9211,Truck,49802,1,7,Petrol,Manual,2000,New,Good,Weak,1
9212,Bus,70854,2,1,Diesel,Manual,1000,Worn Out,New,New,0
9213,Van,76687,5,6,Electric,Automatic,800,Worn Out,Worn Out,Weak,1
9214,Motorcycle,33474,3,1,Diesel,Manual,1000,Worn Out,Good,Weak,1
9215,Motorcycle,59605,0,9,Petrol,Automatic,800,Good,Worn Out,New,1
9216,Bus,75180,2,2,Diesel,Automatic,2500,Good,Good,New,0
9217,Bus,30016,3,1,Diesel,Automatic,1000,Worn Out,Worn Out,Weak,1
9218,Truck,38881,0,9,Petrol,Manual,2000,New,Good,Good,0
9219,Van,78671,4,2,Petrol,Manual,800,Worn Out,Good,Good,1
9220,Motorcycle,65884,1,7,Diesel,Automatic,1000,New,Worn Out,New,1
9221,SUV,65076,2,9,Petrol,Automatic,800,Worn Out,New,Good,0
9222,Truck,40117,2,8,Petrol,Manual,2000,Good,New,New,0
9223,Car,32279,1,2,Electric,Automatic,800,Worn Out,Worn Out,Good,1
9224,Truck,58016,3,1,Petrol,Manual,800,Worn Out,Worn Out,Good,1
9225,Truck,38614,3,7,Petrol,Manual,1500,New,Good,New,1
9226,Van,66128,5,8,Petrol,Manual,800,Good,Worn Out,New,1
9227,Car,34292,2,1,Petrol,Automatic,1500,Good,New,Good,1
9228,Car,64554,1,5,Electric,Automatic,2500,Worn Out,New,Weak,1
9229,SUV,41648,2,8,Diesel,Automatic,1500,Worn Out,New,Weak,1
9230,SUV,69024,3,4,Electric,Automatic,2500,Worn Out,Good,Weak,1
9231,Bus,75071,2,1,Diesel,Automatic,2500,Good,Good,Good,0
9232,Truck,30489,5,6,Petrol,Automatic,1000,Worn Out,Worn Out,Weak,1
9233,Truck,70144,1,6,Electric,Manual,2000,Good,Good,New,0
9234,Van,57236,3,7,Diesel,Automatic,800,Worn Out,New,Weak,1
9235,Van,39364,0,4,Diesel,Manual,1500,Worn Out,Worn Out,New,1
9236,SUV,42727,0,4,Petrol,Manual,800,New,New,New,0
9237,Car,43886,3,2,Diesel,Automatic,800,Worn Out,Worn Out,New,1
9238,Motorcycle,59466,2,2,Diesel,Automatic,1500,New,Worn Out,Weak,1
9239,SUV,42277,1,7,Diesel,Automatic,2500,Good,Good,Good,1
9240,Car,31151,1,1,Electric,Manual,1000,New,Good,New,0
9241,Truck,50384,2,8,Electric,Manual,1000,Worn Out,Worn Out,Weak,1
9242,Car,45968,2,9,Petrol,Automatic,800,Good,Worn Out,New,1
9243,SUV,51737,1,9,Petrol,Manual,1500,Good,New,Weak,1
9244,Truck,66155,2,5,Diesel,Automatic,1000,Worn Out,Worn Out,New,1
9245,Car,38480,5,3,Diesel,Automatic,2000,Worn Out,Good,Weak,1
9246,SUV,65080,2,10,Electric,Automatic,2500,Worn Out,New,Weak,1
9247,SUV,76185,1,9,Diesel,Manual,1000,Good,Good,Good,0
9248,Truck,61313,1,5,Electric,Automatic,1000,Worn Out,New,Good,0
9249,SUV,71959,2,5,Petrol,Automatic,1500,New,New,Good,1
9250,Van,64917,0,1,Diesel,Automatic,2500,Good,Worn Out,New,1
9251,Motorcycle,30294,1,7,Electric,Automatic,2500,Good,Good,New,0
9252,Truck,49584,3,3,Electric,Automatic,2500,New,Good,New,1
9253,Car,66388,3,3,Diesel,Manual,1000,Good,New,Weak,1
9254,Van,36728,1,10,Diesel,Automatic,2500,New,New,New,0
9255,SUV,76936,1,6,Petrol,Manual,800,New,New,Weak,1
9256,Bus,39343,2,5,Electric,Manual,1000,New,Good,Good,0
9257,Truck,59279,5,9,Electric,Automatic,1000,Worn Out,Worn Out,New,1
9258,Van,48708,4,3,Diesel,Manual,1500,Worn Out,Good,Weak,1
9259,Van,60298,2,1,Electric,Automatic,800,Good,Good,Good,0
9260,Truck,37306,5,3,Electric,Automatic,800,Worn Out,Good,Weak,1
9261,Truck,39474,0,6,Petrol,Manual,1500,New,Worn Out,New,1
9262,Van,67605,2,10,Electric,Automatic,1000,Good,Worn Out,Good,1
9263,SUV,79976,5,10,Petrol,Automatic,1000,New,Good,Weak,1
9264,Truck,72389,3,7,Petrol,Manual,2500,New,New,Weak,1
9265,Bus,54835,2,2,Petrol,Manual,2500,Worn Out,Good,Weak,1
9266,Car,71048,3,3,Electric,Automatic,800,Worn Out,New,Good,1
9267,Bus,35469,5,2,Electric,Automatic,1500,Worn Out,Good,Good,1
9268,Van,65411,0,7,Petrol,Manual,800,Worn Out,Good,New,1
9269,Car,70996,0,9,Petrol,Manual,1000,Worn Out,Good,Good,0
9270,Bus,52721,2,6,Electric,Automatic,2500,Good,New,Good,0
9271,Car,79851,3,8,Electric,Automatic,2500,Good,Worn Out,Good,1
9272,Motorcycle,62885,4,2,Petrol,Manual,800,Worn Out,New,Weak,1
9273,Motorcycle,71538,1,10,Electric,Manual,2500,New,New,New,0
9274,SUV,48586,3,5,Petrol,Manual,1500,New,Good,Weak,1
9275,Car,70494,1,3,Electric,Automatic,1000,New,New,Good,1
9276,Bus,58576,5,5,Diesel,Manual,800,Worn Out,Worn Out,New,1
9277,Motorcycle,40879,3,8,Petrol,Manual,1000,New,New,Weak,1
9278,Bus,68300,1,4,Electric,Automatic,800,New,Good,New,0
9279,Bus,46225,1,1,Petrol,Automatic,2500,Good,Worn Out,Good,1
9280,Car,50117,0,4,Diesel,Automatic,2500,New,Good,Good,1
9281,SUV,60599,3,7,Petrol,Automatic,800,New,Worn Out,New,1
9282,Motorcycle,45487,1,9,Electric,Manual,1000,Good,Good,New,0
9283,Van,61869,1,4,Electric,Manual,2000,New,New,Weak,1
9284,Bus,61047,2,5,Diesel,Automatic,2000,Worn Out,Good,Good,1
9285,Bus,54206,5,5,Petrol,Automatic,1500,Worn Out,New,New,1
9286,Van,78888,0,2,Diesel,Manual,2500,New,New,New,0
9287,Bus,34691,1,6,Diesel,Manual,1000,Worn Out,Good,Good,0
9288,Van,58170,3,6,Petrol,Automatic,1500,Good,Worn Out,Good,1
9289,Van,62149,2,10,Petrol,Automatic,1000,New,New,New,0
9290,Bus,48335,3,10,Diesel,Manual,800,Worn Out,New,Weak,1
9291,Car,30925,5,3,Electric,Manual,800,New,Good,Weak,1
9292,Bus,50830,2,6,Petrol,Manual,800,Good,Worn Out,Good,1
9293,Truck,71211,1,5,Petrol,Automatic,2000,Good,New,Good,0
9294,Bus,36535,5,5,Petrol,Automatic,1500,Good,Good,Weak,1
9295,Motorcycle,44584,3,4,Electric,Automatic,2000,New,New,New,1
9296,Truck,30871,1,7,Diesel,Manual,1000,Worn Out,Good,New,0
9297,Motorcycle,66315,5,10,Electric,Automatic,1000,Worn Out,Worn Out,Good,1
9298,Bus,70347,1,8,Electric,Automatic,2500,Worn Out,Good,Weak,1
9299,Bus,39052,1,1,Diesel,Automatic,800,Worn Out,Worn Out,Good,1
9300,Motorcycle,56960,2,1,Electric,Automatic,1000,Worn Out,New,Weak,1
9301,Van,56097,5,5,Petrol,Manual,800,Good,New,New,1
9302,Car,47511,0,10,Diesel,Manual,2500,Good,Good,New,0
9303,SUV,42922,5,5,Diesel,Automatic,2000,New,Worn Out,Good,1
9304,Car,71376,4,8,Diesel,Manual,800,Worn Out,Good,New,1
9305,SUV,65437,3,3,Diesel,Automatic,1000,Worn Out,Good,Weak,1
9306,Motorcycle,61549,4,6,Petrol,Manual,1500,Good,Good,Good,1
9307,Truck,62634,5,7,Electric,Manual,2000,Worn Out,Worn Out,Good,1
9308,Van,58629,5,9,Petrol,Automatic,1000,Good,New,Good,1
9309,Motorcycle,50866,0,8,Petrol,Automatic,2000,Worn Out,New,New,1
9310,SUV,38873,4,2,Diesel,Manual,1000,New,Worn Out,Weak,1
9311,Van,63901,4,2,Diesel,Automatic,800,Good,New,Weak,1
9312,SUV,40925,5,8,Electric,Manual,1500,Worn Out,Good,Good,1
9313,Van,70315,1,4,Petrol,Manual,800,Good,New,New,0
9314,SUV,66110,5,6,Diesel,Manual,1500,New,Good,New,1
9315,Van,59515,0,6,Electric,Manual,800,Worn Out,Worn Out,Good,1
9316,Motorcycle,50604,4,3,Diesel,Manual,1500,Good,Worn Out,Weak,1
9317,Truck,54090,2,6,Electric,Automatic,2500,Good,Worn Out,New,1
9318,Bus,67008,4,8,Diesel,Manual,2500,Good,Good,Weak,1
9319,Bus,72917,4,3,Diesel,Automatic,2500,Good,Worn Out,Weak,1
9320,Motorcycle,69172,0,3,Diesel,Manual,1500,New,Worn Out,Weak,1
9321,Car,35433,3,6,Diesel,Manual,2500,Good,New,Weak,1
9322,Van,72751,5,3,Diesel,Automatic,2500,New,New,New,1
9323,Bus,30402,0,8,Petrol,Manual,800,Worn Out,Good,Weak,1
9324,Motorcycle,53519,1,1,Diesel,Automatic,800,New,Good,Good,0
9325,Van,49542,3,7,Petrol,Automatic,1500,Good,Good,Weak,1
9326,Truck,32950,0,3,Diesel,Manual,2500,New,Good,Good,0
9327,Van,62378,0,7,Diesel,Manual,800,Good,New,New,0
9328,Van,53951,3,5,Petrol,Manual,1500,Worn Out,Worn Out,Weak,1
9329,Car,55227,3,1,Electric,Automatic,800,Worn Out,Worn Out,Good,1
9330,Car,64216,3,10,Diesel,Manual,2500,New,Worn Out,New,1
9331,Bus,49118,2,6,Diesel,Automatic,2500,Worn Out,Worn Out,Weak,1
9332,Car,66531,5,9,Diesel,Manual,2500,Worn Out,Worn Out,Good,1
9333,Truck,34702,4,4,Petrol,Manual,2000,New,Good,Good,1
9334,Motorcycle,39304,5,5,Electric,Manual,2000,New,Worn Out,Good,1
9335,Van,36487,1,7,Diesel,Manual,1500,Good,Good,Weak,1
9336,Car,71031,2,8,Diesel,Automatic,1000,Worn Out,Worn Out,Good,1
9337,Truck,69653,5,6,Petrol,Manual,1000,Worn Out,Good,Good,1
9338,Bus,37006,5,6,Diesel,Automatic,800,Good,Good,Weak,1
9339,SUV,79711,5,3,Diesel,Manual,800,Good,Good,Good,1
9340,Car,79080,1,7,Electric,Manual,2500,Worn Out,Good,Weak,1
9341,Truck,69697,4,3,Electric,Automatic,2000,New,Worn Out,New,1
9342,Car,54188,4,5,Petrol,Manual,1000,New,Worn Out,Good,1
9343,Motorcycle,57702,3,1,Diesel,Manual,1500,Worn Out,Worn Out,Good,1
9344,SUV,33279,4,8,Diesel,Manual,1000,New,New,New,1
9345,SUV,34985,1,9,Petrol,Manual,1000,Worn Out,New,Weak,1
9346,Van,63259,3,6,Diesel,Automatic,800,Worn Out,Worn Out,Weak,1
9347,Motorcycle,78096,1,7,Electric,Automatic,1500,New,New,Good,0
9348,SUV,60688,0,9,Diesel,Automatic,2500,New,Good,Weak,1
9349,SUV,77622,2,8,Petrol,Automatic,800,New,New,Good,0
9350,Motorcycle,34852,0,4,Petrol,Automatic,1500,New,Worn Out,New,1
9351,Car,48435,0,7,Diesel,Automatic,2000,New,New,Weak,1
9352,Motorcycle,40324,4,1,Petrol,Manual,1000,Worn Out,Worn Out,New,1
9353,Motorcycle,67009,2,9,Electric,Automatic,2000,Good,Good,Weak,1
9354,Bus,54600,5,6,Petrol,Manual,800,Worn Out,New,New,1
9355,Van,41290,3,5,Diesel,Automatic,1000,Good,Worn Out,Good,1
9356,Truck,73155,2,10,Petrol,Automatic,2500,Good,Worn Out,Good,1
9357,SUV,76269,1,4,Electric,Automatic,800,New,Worn Out,New,1
9358,Car,66356,5,8,Petrol,Automatic,1500,Worn Out,Good,Good,1
9359,Van,54108,4,6,Diesel,Manual,2000,Good,New,Weak,1
9360,Motorcycle,66346,1,5,Electric,Manual,800,Good,Worn Out,New,1
9361,Truck,74314,2,7,Diesel,Manual,1500,Good,Worn Out,New,1
9362,Bus,39045,3,10,Diesel,Automatic,2000,Good,Worn Out,Weak,1
9363,Car,59196,1,2,Petrol,Automatic,2000,Worn Out,New,Weak,1
9364,Van,46817,1,1,Petrol,Automatic,1000,Worn Out,Good,Weak,1
9365,Car,36430,3,9,Petrol,Automatic,1000,Worn Out,Good,Weak,1
9366,Van,38237,1,2,Petrol,Manual,2500,Worn Out,New,New,0
9367,Car,34149,1,6,Petrol,Manual,800,Worn Out,Good,New,0
9368,Van,65069,0,10,Electric,Manual,2500,Worn Out,New,New,1
9369,Motorcycle,75222,5,1,Petrol,Manual,1000,New,Worn Out,Weak,1
9370,Car,51233,4,5,Petrol,Automatic,2000,New,Good,New,1
9371,Car,53294,2,9,Petrol,Manual,2000,Worn Out,Worn Out,New,1
9372,Motorcycle,72554,2,5,Diesel,Manual,1000,Good,Good,New,0
9373,Truck,47999,3,9,Electric,Manual,800,New,New,New,0
9374,Motorcycle,36016,0,4,Petrol,Manual,1500,Worn Out,New,New,0
9375,Car,58658,3,5,Diesel,Automatic,1500,Good,Good,Good,1
9376,Car,69424,2,5,Diesel,Manual,800,New,Good,New,1
9377,SUV,52856,2,2,Petrol,Manual,2500,New,New,Weak,1
9378,Car,40549,4,4,Electric,Automatic,2000,Good,Good,Good,1
9379,Truck,76325,3,5,Electric,Manual,1500,Worn Out,Good,Weak,1
9380,Truck,67426,4,8,Diesel,Automatic,2500,Good,New,New,1
9381,Motorcycle,56315,2,5,Electric,Automatic,800,Worn Out,New,Weak,1
9382,Truck,50261,5,3,Petrol,Manual,2000,New,Good,New,1
9383,Motorcycle,50359,5,2,Diesel,Automatic,1500,Good,Worn Out,New,1
9384,Van,62056,0,6,Petrol,Automatic,2500,New,New,New,0
9385,Truck,54300,3,10,Diesel,Manual,2500,Good,Worn Out,Weak,1
9386,Car,32045,3,9,Diesel,Manual,2500,Worn Out,Good,Good,1
9387,Truck,51616,2,4,Electric,Manual,1500,Worn Out,Worn Out,Weak,1
9388,Truck,30919,2,10,Diesel,Manual,1500,Worn Out,Good,Good,0
9389,Car,37807,5,10,Petrol,Automatic,1000,Good,Worn Out,New,1
9390,Motorcycle,45130,3,3,Electric,Manual,1500,New,Worn Out,New,1
9391,Bus,67297,4,7,Diesel,Automatic,800,New,Good,Good,1
9392,Car,31833,2,1,Electric,Manual,2000,New,Good,New,1
9393,Car,52513,4,5,Petrol,Manual,1000,New,New,Good,1
9394,Motorcycle,74312,3,7,Petrol,Automatic,800,New,New,New,1
9395,Van,69615,1,8,Electric,Manual,1000,Good,Worn Out,Weak,1
9396,SUV,54319,2,6,Electric,Manual,1500,Good,Good,New,1
9397,Bus,30465,5,8,Electric,Automatic,2500,Good,Good,Good,1
9398,Bus,74718,0,6,Electric,Automatic,2500,New,New,Weak,1
9399,Truck,71767,1,10,Diesel,Automatic,2000,Worn Out,New,Weak,1
9400,Truck,44879,4,10,Petrol,Automatic,800,Worn Out,Worn Out,New,1
9401,SUV,63437,1,4,Diesel,Manual,2500,Good,Worn Out,New,1
9402,Van,37711,4,8,Diesel,Manual,1500,Worn Out,Worn Out,Weak,1
9403,SUV,55812,1,3,Diesel,Automatic,2000,Worn Out,Worn Out,Weak,1
9404,SUV,64863,5,10,Petrol,Automatic,1500,Good,Good,New,1
9405,SUV,64587,2,9,Diesel,Automatic,2000,New,Good,Good,1
9406,Car,61327,0,5,Electric,Manual,2500,New,Good,New,0
9407,Motorcycle,40355,0,5,Electric,Manual,1500,New,New,New,1
9408,Truck,30470,5,9,Electric,Automatic,1500,New,Worn Out,Good,1
9409,Car,33574,4,3,Electric,Automatic,800,Good,Worn Out,New,1
9410,SUV,40629,2,2,Petrol,Manual,2500,Good,Worn Out,New,1
9411,Motorcycle,53027,2,7,Electric,Manual,1000,New,Worn Out,Weak,1
9412,Motorcycle,52174,1,1,Petrol,Automatic,1000,New,New,New,1
9413,SUV,65068,3,1,Diesel,Automatic,1000,Good,Worn Out,New,1
9414,Bus,51987,5,8,Electric,Automatic,2500,Worn Out,Good,New,1
9415,Bus,78568,2,1,Petrol,Manual,800,New,New,Weak,1
9416,Truck,40688,4,3,Petrol,Automatic,1000,Good,New,New,1
9417,Truck,67068,3,7,Diesel,Manual,2000,New,Good,New,1
9418,Van,43016,5,6,Electric,Automatic,1500,Worn Out,Good,Good,1
9419,Truck,69434,4,10,Diesel,Automatic,800,New,New,New,1
9420,Bus,51424,0,6,Petrol,Manual,2000,New,Worn Out,New,1
9421,Van,54603,1,6,Diesel,Automatic,800,Worn Out,New,Good,0
9422,SUV,50456,0,1,Petrol,Manual,1000,Good,Worn Out,Good,1
9423,Motorcycle,67107,4,7,Diesel,Automatic,2000,New,New,Weak,1
9424,Van,34097,2,5,Petrol,Automatic,1500,Worn Out,Worn Out,Good,1
9425,Motorcycle,43301,5,9,Petrol,Automatic,1000,Worn Out,New,Good,1
9426,SUV,31141,2,2,Diesel,Manual,800,New,New,New,0
9427,Car,66530,5,10,Petrol,Automatic,1500,New,Good,Weak,1
9428,Bus,60903,1,7,Petrol,Automatic,2500,Good,Worn Out,New,1
9429,Van,62884,1,8,Electric,Automatic,1500,Good,Worn Out,Weak,1
9430,Van,45624,3,2,Electric,Manual,800,Good,Good,Good,1
9431,Truck,44489,5,10,Petrol,Automatic,1000,New,Worn Out,Weak,1
9432,Van,38153,5,4,Electric,Manual,800,New,New,New,1
9433,Motorcycle,59289,0,3,Electric,Manual,1000,New,New,New,0
9434,Van,53503,4,5,Diesel,Manual,800,Worn Out,New,Good,1
9435,SUV,75515,5,7,Petrol,Manual,2000,Worn Out,Worn Out,Weak,1
9436,Bus,34315,4,8,Diesel,Manual,2000,Good,New,Weak,1
9437,Bus,59939,3,3,Electric,Manual,800,Good,Worn Out,New,1
9438,Bus,58559,1,6,Petrol,Automatic,800,Good,Good,Weak,1
9439,Van,65052,4,10,Petrol,Automatic,2000,New,Worn Out,Good,1
9440,Bus,45244,0,10,Petrol,Manual,800,Good,New,New,0
9441,SUV,45436,1,5,Diesel,Manual,800,Worn Out,New,Good,0
9442,Car,49994,3,8,Diesel,Manual,800,Good,New,Good,1
9443,Bus,54903,4,1,Petrol,Automatic,1000,New,New,Good,1
9444,Van,72713,0,8,Petrol,Automatic,1500,Worn Out,Worn Out,New,1
9445,Truck,47529,5,7,Petrol,Automatic,2500,New,Worn Out,Good,1
9446,Truck,47251,4,1,Electric,Manual,2000,Good,Good,New,1
9447,Car,72796,4,2,Petrol,Automatic,2000,New,Worn Out,Good,1
9448,Van,70218,2,9,Diesel,Manual,1000,Good,Good,Weak,1
9449,Van,70562,3,3,Electric,Manual,2500,Worn Out,Worn Out,Good,1
9450,Bus,30456,3,10,Diesel,Automatic,800,Good,Worn Out,New,1
9451,Bus,65256,5,3,Electric,Manual,1000,Worn Out,Good,Weak,1
9452,SUV,71087,5,9,Electric,Manual,1500,Worn Out,Worn Out,Weak,1
9453,Truck,60738,1,3,Petrol,Manual,1500,New,Worn Out,Good,1
9454,SUV,72300,4,10,Electric,Automatic,1000,New,New,New,1
9455,Truck,30130,4,8,Diesel,Automatic,800,Good,Good,Good,1
9456,Car,45328,5,10,Petrol,Manual,800,Good,Worn Out,New,1
9457,Motorcycle,30972,2,10,Electric,Automatic,1000,Worn Out,Good,Good,0
9458,Van,55898,2,4,Electric,Automatic,800,Worn Out,New,New,1
9459,Car,33888,4,8,Diesel,Manual,2500,New,Worn Out,Good,1
9460,Car,51323,5,8,Petrol,Manual,800,Good,New,Weak,1
9461,Motorcycle,30461,0,10,Electric,Automatic,2500,Worn Out,Good,Weak,1
9462,Bus,49986,5,10,Petrol,Manual,2500,Worn Out,New,Good,1
9463,Truck,58517,4,3,Electric,Manual,2500,Good,New,Weak,1
9464,Motorcycle,43565,2,3,Petrol,Automatic,2000,Worn Out,New,Weak,1
9465,Bus,73877,2,7,Diesel,Manual,800,Worn Out,Good,Weak,1
9466,Bus,67076,0,2,Diesel,Manual,2000,New,Good,New,0
9467,Bus,72252,1,5,Petrol,Automatic,2500,Worn Out,Worn Out,New,1
9468,Motorcycle,41477,1,10,Electric,Manual,1500,New,Worn Out,New,1
9469,Van,71597,3,10,Electric,Automatic,2000,Worn Out,Worn Out,New,1
9470,Truck,53569,2,3,Diesel,Automatic,1500,Worn Out,Worn Out,Weak,1
9471,SUV,63213,0,7,Diesel,Automatic,2000,Good,New,New,0
9472,SUV,49661,5,9,Diesel,Manual,2000,Worn Out,Good,New,1
9473,Van,69102,3,8,Diesel,Manual,2500,New,New,New,1
9474,Truck,49478,2,8,Electric,Automatic,1000,Worn Out,Good,Good,0
9475,SUV,69788,1,1,Diesel,Automatic,2500,New,New,Weak,1
9476,SUV,62870,2,5,Diesel,Automatic,800,Worn Out,New,Weak,1
9477,Van,52744,1,8,Electric,Manual,800,New,Good,Weak,1
9478,Truck,36070,0,1,Electric,Automatic,1500,Good,Good,New,0
9479,Bus,49531,3,9,Diesel,Automatic,1500,New,New,Weak,1
9480,Motorcycle,61092,3,8,Petrol,Automatic,1000,New,New,Good,0
9481,Truck,69224,0,6,Electric,Manual,1500,Worn Out,Worn Out,Good,1
9482,Car,50052,0,10,Electric,Manual,1000,Worn Out,Worn Out,New,1
9483,Motorcycle,71475,0,9,Electric,Manual,2500,New,New,Weak,1
9484,Bus,43649,5,9,Diesel,Manual,1000,New,Good,New,1
9485,Bus,60967,4,10,Petrol,Manual,1500,Worn Out,New,Weak,1
9486,Truck,39889,2,8,Petrol,Automatic,2000,Good,New,Weak,1
9487,Car,56980,2,6,Diesel,Automatic,1000,Good,Good,Good,1
9488,Van,43284,3,8,Diesel,Manual,2500,Good,Worn Out,New,1
9489,Motorcycle,73830,0,8,Diesel,Automatic,1500,Worn Out,New,Weak,1
9490,Motorcycle,42287,1,5,Petrol,Automatic,800,Good,Worn Out,New,1
9491,Bus,63353,1,9,Diesel,Manual,1500,New,Good,New,0
9492,Bus,32806,5,3,Petrol,Manual,1500,Good,Good,Weak,1
9493,Bus,36748,1,9,Petrol,Manual,2000,Worn Out,New,Weak,1
9494,Van,79959,4,5,Petrol,Manual,2500,Worn Out,New,Good,1
9495,Car,33498,4,3,Electric,Manual,800,New,Worn Out,Weak,1
9496,Bus,68798,4,2,Petrol,Manual,2000,Good,New,New,1
9497,Bus,34603,0,6,Electric,Automatic,2500,Worn Out,Good,Weak,1
9498,SUV,51334,0,1,Petrol,Automatic,800,Worn Out,New,Good,0
9499,Van,67491,0,1,Petrol,Manual,800,Worn Out,Good,Weak,1
9500,Motorcycle,63640,3,10,Diesel,Manual,2000,Worn Out,Worn Out,Weak,1
9501,Van,41897,0,5,Petrol,Automatic,800,Worn Out,Good,Weak,1
9502,Truck,36510,0,9,Petrol,Automatic,1500,New,Worn Out,New,1
9503,Bus,49294,5,7,Diesel,Manual,1500,Worn Out,Good,New,1
9504,Bus,76363,4,1,Electric,Manual,2000,Good,Worn Out,Good,1
9505,Bus,45236,5,5,Diesel,Automatic,2500,Good,New,Weak,1
9506,Car,35869,2,8,Petrol,Manual,1000,Worn Out,Good,Good,0
9507,Van,43152,2,2,Diesel,Automatic,1000,New,New,New,0
9508,Car,50613,5,3,Diesel,Manual,1000,Good,New,Good,1
9509,Truck,67146,4,8,Petrol,Manual,800,Worn Out,Good,Good,1
9510,Truck,41912,2,10,Petrol,Manual,2000,Good,Good,Good,1
9511,Bus,75983,4,6,Diesel,Automatic,1500,Worn Out,Good,Weak,1
9512,Bus,75196,3,3,Diesel,Automatic,2500,Worn Out,Good,Good,0
9513,Truck,72918,0,3,Petrol,Automatic,1500,Worn Out,New,Weak,1
